地図を貸す
地図を使って
地図をプレゼントする
地図を借りる
地図を渡す
地図を共有して
地図を一緒に見る
地図を一緒に見て経路確認する
昔の地図を眺めて現在との違いを語る
製本地図を貸す
プレゼントする
見え具合を話し合う
旅の予定を立てる
地図引っ張り合って破いてしまう
コースを計画する
ルートを一緒に確認する
地図を囲んで旅行のプランを立てる
地図を人に貸す
人にあげる
ルートを確認する
ルートを検討する
おおよその距離を測る
頭をたたく
あおいであげる
クイズを出し合う
難読地名漢字を教え合う
地図を人に渡す
地図を見ながら一緒に行きたいところを決める
地図を人にかす
地図を一緒に眺める
旅行先を確認する
他の人に聞く
地図を見せる
地図を人にプレゼントする
地図を使って一緒に旅行に行く
地図で自宅の場所を説明する
地図の見方が解らずケンカになる
なし
地図を仲間と一緒に見る
地図を人にあげる
地図の見方を教える
人と一緒にさがす
一緒に見る
地図を見て案内する
地図を預ける
地図で目的地を指し示す
地図に穴を開けられる
地図を人に見せびらかす
地図を広げる
地図を記念にプレゼントする
運転しながらコミュできる
地図を2人分貰う
地図の書き込みをうつさせてもらう
地図で説明する
地図で確認しあう
旅行仲間と一緒に計画を立てる
地図を友達に貸して
共に冒険や探検に参加する
地元の人に道を尋ねる
地図を家族や友人と共有して
観光地やイベントに向かう
地図を彼らと共有して
興味深い場所やおすすめのルートを教え合う
一緒に新しい場所を発見する冒険に出かける
地図を見せ合いながら
旅の途中で感じた思い出話を共有する
友人や仲間と協力して道を見つける
グループでの旅行計画を協議する
一緒に目的地に到着するためのアドバイスを得る
地図…いいよね
地図を見せて説明する
地図をあげる
地図をもらう
無い
地図の取り合い
地図を丸めて叩く
プレゼント
殴り合いになる
地図で教える
地図で遊ぶ
相手との時間的ギャップが大きくならないように気をつける
地図で場所を教える
地図で場所を調べる
見間違う
地図でともに旅行する
車で走るルートを議論する
地図を見せながら道をたずねる
地図を見ながら行程を相談する
地図を貸し借りする
