地図を見る
地図を広げる
地図をしまう
地図を買う
地図を開く
地図をたたむ
地図を破る
地図を探す
地図を閉じる
地図を眺める
地図を捨てる
地図で調べる
見る
選ぶ
地図を片付ける
地図を折り畳む
地図を出す
地図を取る
地図を持つ
地図を作る
地図を購入する
地図をめくる
広げる
旅行計画に基づいて地図を参照する
立ち上げる
遊ぶ
目的地を探す
目的地を見つける
目的地や興味ある場所を見つける
目的地に到着したら地図をたたんでしまう
目的地に向かう
迷子になった場合に地図を頼りに方向を見つける
無ければページをめくる。
無い
買う
置く
探したい土地の地図を選ぶ
進行方向を確認するために地図を回転させる
場所がわからないときに調べる
書き込む
周囲の地形やランドマークを地図と照らし合わせる
取る
地図上で指を使って経路を追う
地図を用意する
地図を予備に持つ
地図を貰う
地図を平らに伸ばす。
地図を比べる
地図を入れる
地図を読めない人が増えている
地図を渡す
地図を貼り付ける
地図を貸し出す
地図を折る
地図を折りながら持ち歩く
地図を折りたたむ
地図を手に取る
地図を手にする
地図を取り出す
地図を借りる
地図を持って行く
地図を持ち歩く
地図を使って調べて目的地にたどり着く
地図を使って新しいお店を探してみる。
地図を使う
地図を広げてしるしを書き込む
地図を見る。
地図を見て進む
地図を覚える
地図を開く。
地図をもらう
地図をみる
地図をなくす
地図をチェックする
地図をたどる
地図をたどって目的地へたどり着く。
地図をじっくり探る。
地図をコピーする。
地図をあげる
地図の場所をメモする
地図に頼る
地図に書き込む
地図に記載する
地図で説明する
地図で場所を調べる
地図で確認する
地図で家を探す
地図たたむ
座る
行き先に応じた地図を取り出し
行きたい場所をチェックしてそこまでのルートをたどる。
現在位置を調べる
経路を調べる
"帰宅後に地図を整理して保存する,地図を取り出す"
該当箇所のページを開く
運ぶ
わからない
メモを取りながら地図を見る
めくる
ポケットやバッグにしまう
テーブルや地面に広げる
そこへ行くまでの道のりを見る。##
しまう
オフラインで調べ物をする
