眺める
地図にメモにしてしまう
地図を破く
思い切り引っ張ってしまって破く
地図を逆さにしてしまう
地図を開くときに一旦すべて見る
やぶってしまう
地図に色々と書き込む
ボールペンで書き込んでしまう
地図をなぞる
地図に印をつける
地図で行く道を指でなぞる
地図に落書きする
発行年を見る
製本地図のページをめくる音をだす
製本地図の表紙を眺める
ごろりと寝ながら見る
地図を丸めてしまう
ポイントに印をつける
折り目を押し広げる
地図を破る
畳んだ状態で仰いでしまう
机をたたいてしまう
地図の角で体をかく
地図を閉じたり開いたりする
地図を畳むときに折れ目のところで破ってしまう
いたずら書きする
角をくるくる丸めてしまう
つい余計なものを書いてしまう
ルートをペンで書く
地図を失くす
地図を広げる時に破ってしまう
地図にある面白地名を探す
地図で自宅の場所を探す
地図に落書きをする
鼻くそをほじる
地図を回して自分の方向に合わせる
はしを折り曲げる
目を細めて地図を見る
地図に落書きしてしまう
地図を忘れる
地図に目的地の印をつけてしまう
地図を眺める
地図を折りたたむ
メモ帳にする
丸くする
地図にペンで書き込む
地図の道を指でなぞる
地図の向きを変える
地図を広げて
指で地名や道路をなぞる
地図を見ながら
旅行の夢や計画を膨らませる
地図を折り曲げて
ポケットにしまう
地図の端をちらっとめくって
他の地域も覗いてみる
地図上の興味深い場所に印をつけてしまう
地図をたたんで
バッグや財布に挟む
地図を広げながら
友達や仲間と一緒に旅行計画を立てる
地図を持って歩きながら
目指す場所について他の人と話す
地図の線や境界をなぞりながら
地理的な興味を抱く
地図を広げている時に
思わず周囲の景色と比較してしまう
地図の端っこを弄ってしまう
地図を眺めながら新しい発見を探してしまう
無い
地図を開くときに破く
地図に水をこぼす
地図で扇ぐ
書き込み
においをかぐ
地図をクシャクシャにする
地図を叩く
間に他の紙が挟まっていないか調べる
行ってみたい場所を調べる
目をしかめる
地図をうっかり破ってしまう
指でなぞる
うまく畳めなくて
