地図が破れる
地図を破る
地図を破ってしまう
地図をなくす
地図を破く
地図を落とす
地図を破いてしまう
地図を紛失する
地図に飲み物をこぼす
地図の上に飲み物をこぼす
落書きをする
破いてしまう
地図が汚れる
地図を忘れてきてしまう
地図をなくしてしまう
地図を濡らす
地図に間違って印をつける
破く
破れて地図がわからなくなってしまう
地図にコーヒーをこぼす
地図を広げすぎて
畳み方がわからなくなる
折り目をつける
やぶれる
指を切ってしまう
地図にタバコの火を落として穴をあける
地図に飲み物をこぼしてしまう
通行止め区間に気づかず行ってしまう
間違った目的地を地図に書き込む
濡れて使えなくなる
地図にお茶をこぼしてしまう
地図を忘れる
地図記号を読み間違える
地図を風で飛ばしてしまう
食べ物をこぼす
旅行バッグに入れ忘れる
手を切る
地図をくしゃくしゃにする
濡らしてしまう
地図を飲み物や食べ物で汚す
地図にお茶をこぼす
発行年が古くて目的の建物が無い
製本地図にコーヒーをこぼす
ページが破れる
水に濡らしてしまう
地図を広げているうちに破れる
他の人の視界を遮る
地図を濡らしてしまい
情報が滲んで読みにくくなる
地図を誤って折り曲げ
重要な部分が見づらくなる
地図上の情報を誤って解釈して
逆方向に進む
地図を使用中に他の人とぶつかる
地図をなくしてしまい
方向や場所が分からなくなる
地図を地面に広げたまま歩き回り
他の人にぶつかる
地図を横に広げている最中に風で巻かれてしまう
地図に書かれた情報を見過ごして
重要なポイントを見落とす
地図の方角を間違える
地図を雨で濡らす
地図がうまくたためない
縮尺を間違える
地図を落としてしまう
地図を持っていくのを忘れる
ページを破る
地図を持ってくるのを忘れる
見間違い
地図が燃える
地図がヤギに食べられる
場所を間違える
逆さに読む
地図に穴が開く
同じような地名を間違えないようにする
地図が風で飛んでしまう
関係のない地域の地図をもってきてしまう
破る
地図をうっかり破ってしまう
飲み物をこぼす
方角がわからなくなる
