地図を燃やす
地図を折って紙飛行機にする
紙飛行機を作る
地図を丸めてたたく
ストーブに角度を付けるための土台にする
本棚のインテリア
製本地図を重石にする
千本地図を燃やす
枕にする。
燃やす
押し花をする
地図を広げて上に座る
インテリアとして飾る
テーブルに敷く
地図を芝生に広げて寝る
地図を捨てる
うちわとして仰ぐ
傘として利用する
都道府県を覚える
漢字を覚える
敷物にする
地図を広げてランチョンマットの代わりにする
地図を飾ってインテリアにする
地図を額に入れてアートにする
地図で封筒を作って手紙を出す
地図をラッピングペーパーにしてプレゼントを包む
丸めてものを叩く
地図で折り紙にする
メモ帳で使う
地図で行先を確認する
地図で双六をする
地図を座布団として使う
地図をあおいで団扇の代わりにする
地図をランチョンマットとして使う
地図を破って猫砂にする
地図を燃やして薪の代わりにする
地図を壁に貼ってポスターにする
地図を丸めてチャンバラごっこをする
地図を本棚に並べてインテリアにする
地図を切って壁に貼る
BBQの時の着火剤代わりにする
ボール
地図を眺めて旅行した気分になる。
地図を開いて日よけにする
地図を折り畳んでうちわにする
地図を裏紙としてメモ書きにする。
地図を丸めて叩く
地図を壁に貼ってインテリアにする
地図にダーツの矢を投げて刺さった場所に行く
地図を広げてシート代わりにする
地図に落書きをする
地図をかべに貼る
壁のインテリアにする。
地図で虫を払う
地図を暖簾がわりにする
地図を日除けにする
地図折って紙飛行機にする
地図をメモ用紙にする
地図で包装する
地図を切り抜いてパズルのピースとして使う
地図を畳んで紙飛行機を作る
地図を折り紙にして動物や花を折る
地図を切り取ってカードやブックマークにする
地図を台紙にして手作りのポスターを作成する
地図を使って折り紙で帽子や帆を作る
地図を教材として子供たちに地理を教える
地図を切り取ってクイズやゲームのボードにする
地図を使って模型の背景を作成する
地図をアート作品に組み込んで展示物として使用する
地図で塗り絵をする
地図で紙ヒコーキを作り飛ばす
地図を団扇がわりにあおぐ
地図にメモをとる
地図を包装紙に使う
裏紙
トイレで地図を使い尻を拭く
地図を燃やして暖を取る
地図で鼻をかむ
地図を丸めて緩衝材にする
地図で隠す
飾る
都市当てクイズ
地図を壁に貼る
地図をゴミに出す
地図を丸めて剣にする
押し花をするときのおもしにする。
地図を敷物に使う
鼻をかむ
地図を丸めて刀を作る
地図で紙飛行機を作る
地図を燃やして廃棄する
地図でラッピングする
